,atomic_number,X,atomic_radius,group,row,atomic_mass
0,1.0,2.2,0.25,1.0,1.0,1.00794
1,2.0,0.37758908,0.06585856,18.0,1.0,4.002602
2,3.0,0.98,1.45,1.0,2.0,6.941
3,4.0,1.57,1.05,2.0,2.0,9.012182
4,5.0,2.04,0.85,13.0,2.0,10.811
5,6.0,2.55,0.7,14.0,2.0,12.0107
6,7.0,3.04,0.65,15.0,2.0,14.0067
7,8.0,3.44,0.6,16.0,2.0,15.9994
8,9.0,3.98,0.5,17.0,2.0,18.998404
9,10.0,0.0,0.0,18.0,2.0,20.1797
10,11.0,0.93,1.8,1.0,3.0,22.989769
11,12.0,1.31,1.5,2.0,3.0,24.305
12,13.0,1.61,1.25,13.0,3.0,26.981539
13,14.0,1.9,1.1,14.0,3.0,28.0855
14,15.0,2.19,1.0,15.0,3.0,30.973763
15,16.0,2.58,1.0,16.0,3.0,32.065
16,17.0,3.16,1.0,17.0,3.0,35.453
17,18.0,0.0,0.71,18.0,3.0,39.948
18,19.0,0.82,2.2,1.0,4.0,39.0983
19,20.0,1.0,1.8,2.0,4.0,40.078
20,21.0,1.36,1.6,3.0,4.0,44.955914
21,22.0,1.54,1.4,4.0,4.0,47.867
22,23.0,1.63,1.35,5.0,4.0,50.9415
23,24.0,1.66,1.4,6.0,4.0,51.9961
24,25.0,1.55,1.4,7.0,4.0,54.938046
25,26.0,1.83,1.4,8.0,4.0,55.845
26,27.0,1.88,1.35,9.0,4.0,58.933193
27,28.0,1.91,1.35,10.0,4.0,58.6934
28,29.0,1.9,1.35,11.0,4.0,63.546
29,30.0,1.65,1.35,12.0,4.0,65.409
30,31.0,1.81,1.3,13.0,4.0,69.723
31,32.0,2.01,1.25,14.0,4.0,72.64
32,33.0,2.18,1.15,15.0,4.0,74.9216
33,34.0,2.55,1.15,16.0,4.0,78.96
34,35.0,2.96,1.15,17.0,4.0,79.904
35,36.0,3.0,0.05488213,18.0,4.0,83.798
36,37.0,0.82,2.35,1.0,5.0,85.4678
37,38.0,0.95,2.0,2.0,5.0,87.62
38,39.0,1.22,1.8,3.0,5.0,88.90585
39,40.0,1.33,1.55,4.0,5.0,91.224
40,41.0,1.6,1.45,5.0,5.0,92.90638
41,42.0,2.16,1.45,6.0,5.0,95.94
42,43.0,1.9,1.35,7.0,5.0,98.0
43,44.0,2.2,1.3,8.0,5.0,101.07
44,45.0,2.28,1.35,9.0,5.0,102.9055
45,46.0,2.2,1.4,10.0,5.0,106.42
46,47.0,1.93,1.6,11.0,5.0,107.8682
47,48.0,1.69,1.55,12.0,5.0,112.411
48,49.0,1.78,1.55,13.0,5.0,114.818
49,50.0,1.96,1.45,14.0,5.0,118.71
50,51.0,2.05,1.45,15.0,5.0,121.76
51,52.0,2.1,1.4,16.0,5.0,127.6
52,53.0,2.66,1.4,17.0,5.0,126.90447
53,54.0,2.6,0.05488213,18.0,5.0,131.293
54,55.0,0.79,2.6,1.0,6.0,132.90546
55,56.0,0.89,2.15,2.0,6.0,137.327
56,57.0,1.1,1.95,3.0,6.0,138.90547
57,58.0,1.12,1.85,3.0,6.0,140.116
58,59.0,1.13,1.85,3.0,6.0,140.90765
59,60.0,1.14,1.85,3.0,6.0,144.242
60,61.0,1.13,1.85,3.0,6.0,145.0
61,62.0,1.17,1.85,3.0,6.0,150.36
62,63.0,1.2,1.85,3.0,6.0,151.964
63,64.0,1.2,1.8,3.0,6.0,157.25
64,65.0,1.1,1.75,3.0,6.0,158.92535
65,66.0,1.22,1.75,3.0,6.0,162.5
66,67.0,1.23,1.75,3.0,6.0,164.93031
67,68.0,1.24,1.75,3.0,6.0,167.259
68,69.0,1.25,1.75,3.0,6.0,168.9342
69,70.0,1.1,1.75,3.0,6.0,173.04
70,71.0,1.27,1.75,3.0,6.0,174.967
71,72.0,1.3,1.55,4.0,6.0,178.49
72,73.0,1.5,1.45,5.0,6.0,180.94788
73,74.0,2.36,1.35,6.0,6.0,183.84
74,75.0,1.9,1.35,7.0,6.0,186.207
75,76.0,2.2,1.3,8.0,6.0,190.23
76,77.0,2.2,1.35,9.0,6.0,192.217
77,78.0,2.28,1.35,10.0,6.0,195.084
78,79.0,2.54,1.35,11.0,6.0,196.96657
79,80.0,2.0,1.5,12.0,6.0,200.59
80,81.0,1.62,1.9,13.0,6.0,204.3833
81,82.0,2.33,1.8,14.0,6.0,207.2
82,83.0,2.02,1.6,15.0,6.0,208.9804
83,84.0,2.0,1.9,16.0,6.0,210.0
84,85.0,2.2,0.0,17.0,6.0,210.0
85,86.0,2.2,0.0,18.0,6.0,220.0
86,87.0,0.7,0.0,1.0,7.0,223.0
87,88.0,0.9,2.15,2.0,7.0,226.0
88,89.0,1.1,1.95,3.0,7.0,227.0
89,90.0,1.3,1.8,3.0,7.0,232.03806
90,91.0,1.5,1.8,3.0,7.0,231.03587
91,92.0,1.38,1.75,3.0,7.0,238.02892
92,93.0,1.36,1.75,3.0,7.0,237.0
93,94.0,1.28,1.75,3.0,7.0,244.0
94,95.0,1.3,1.75,3.0,7.0,243.0
95,96.0,1.3,0.0,3.0,7.0,247.0
96,97.0,1.3,0.0,3.0,7.0,247.0
97,98.0,1.3,0.0,3.0,7.0,251.0
98,99.0,1.3,0.0,3.0,7.0,252.0
99,100.0,1.3,0.0,3.0,7.0,257.0
100,101.0,1.3,0.0,3.0,7.0,258.0
101,102.0,1.3,0.0,3.0,7.0,259.0
102,103.0,1.3,0.0,3.0,7.0,262.0
103,104.0,0.0,0.0,4.0,7.0,267.0
104,105.0,0.0,0.0,5.0,7.0,268.0
105,106.0,0.0,0.0,6.0,7.0,269.0
106,107.0,0.0,0.0,7.0,7.0,270.0
107,108.0,0.0,0.0,8.0,7.0,270.0
108,109.0,0.0,0.0,9.0,7.0,278.0
109,110.0,0.0,0.0,10.0,7.0,281.0
110,111.0,0.0,0.0,11.0,7.0,282.0
111,112.0,0.0,0.0,12.0,7.0,285.0
112,113.0,0.0,0.0,13.0,7.0,286.0
113,114.0,0.0,0.0,14.0,7.0,289.0
114,115.0,0.0,0.0,15.0,7.0,290.0
115,116.0,0.0,0.0,16.0,7.0,293.0
116,117.0,0.0,0.0,17.0,7.0,294.0
117,118.0,0.0,0.0,18.0,7.0,2949.0
