,abundance_universe,abundance_solar,abundance_meteor,abundance_crust,abundance_ocean,abundance_human,boiling_point,critical_pressure,critical_temperature,density_stp,conductivity_thermal,electron_affinity,electronegativity_pauling,heat_specific,heat_vaporization,heat_fusion,heat_molar,magnetic_susceptibility_mass,magnetic_susceptibility_molar,magnetic_susceptibility_volume,melting_point,molar_volume,neutron_cross_section,neutron_mass_absorption,radius_calculated,radius_empirical,radius_covalent,radius_vanderwaals,refractive_index,speed_of_sound,conductivity_electric,electrical_resistivity,modulus_bulk,modulus_shear,modulus_young,poisson_ratio,coefficient_of_linear_thermal_expansion,hardness_vickers,hardness_brinell,hardness_mohs,superconduction_temperature
0,75.0,75.0,2.4,0.15,11.0,10.0,20.271,1.293,32.97,0.0899,0.1805,72.769,2.2,14300.0,0.452,0.558,28.836,-2.48e-08,-5e-11,-2.23e-09,13.99,0.01121,0.332,0.011,53.0,25.0,37.0,1.1,1.000132,1270.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23.0,23.0,0.0074750413,5.5e-07,7.2e-10,0.015490766,4.222,0.227,5.19,0.1785,0.1513,-48.0,0.0,5193.1,0.083,0.02,11.293489,-5.9e-09,-2.36e-11,-1.05e-09,0.95,0.022424,0.007,1e-05,31.0,34.929688,32.0,1.4,1.000035,970.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6e-07,6e-09,0.00017,0.0017,1.8e-05,3e-06,1603.0,67.0,3223.0,535.0,85.0,59.6326,0.98,3570.0,147.0,3.0,24.86,2.56e-08,1.78e-10,1.37e-05,453.65,1.3e-05,71.0,0.006594186,167.0,145.0,134.0,1.82,1.4246688,6000.0,11.0,9.4e-08,11.0,4.2,4.9,0.072411045,4.6e-05,834.15845,200.22998,0.6,0.0
3,1e-07,1e-08,2.9e-06,0.00019,6e-11,4e-08,2742.0,46.764305,2266.6362,1848.0,190.0,-48.0,1.57,1820.0,297.0,7.95,16.443,-1.26e-08,-1.14e-10,-2.33e-05,1560.0,4.88e-06,0.0092,3e-05,112.0,105.0,90.0,1.53,1.4349976,13000.0,25.0,4e-08,130.0,132.0,287.0,0.032,1.13e-05,1670.0,600.0,5.5,0.026
4,1e-07,2e-07,0.00016,0.00086,0.00044,7e-05,4200.0,37.460884,1557.2206,2460.0,27.0,26.989,2.04,1030.0,507.0,50.0,11.087,-8.7e-09,-9.41e-11,-2.14e-05,2349.0,4.39e-06,760.0,2.4,87.0,85.0,82.0,1.92,1.7319748,16200.0,1e-10,10000.0,320.0,60.278126,135.44606,0.15114832,6e-06,49000.0,345.76764,9.3,0.0
5,0.5,0.3,1.5,0.18,0.0028,23.0,4300.0,24.679646,931.3436,2260.0,140.0,121.7763,2.55,710.0,715.0,105.0,8.517,-6.2e-09,-7.45e-11,-1.4e-05,3823.0,5.31e-06,0.0035,1.5e-05,67.0,70.0,77.0,1.7,2.417,18350.0,0.1,1e-05,33.0,26.317726,58.716415,0.11833613,7.1e-06,18229.625,225.12679,0.5,0.0
6,0.1,0.1,0.14,0.002,5e-05,2.6,77.355,3.39,126.21,1.251,0.02583,-6.8,3.04,1040.0,2.79,0.36,15.791405,-5.4e-09,-1.5e-10,-6.8e-09,63.15,0.011197,1.91,0.0048,56.0,65.0,75.0,1.55,1.000298,333.6,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,0.9,40.0,46.0,86.0,61.0,90.188,5.043,154.59,1.429,0.02658,140.976,3.44,919.0,3.41,0.222,18.239132,1.34e-06,4.27e-08,1.91e-06,54.36,0.011196,0.00028,1e-06,48.0,60.0,73.0,1.52,1.000271,317.5,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4e-05,5e-05,0.0087,0.054,0.00013,0.0037,85.03,5.172,144.13,1.696,0.0277,328.1649,3.98,824.0,3.27,0.26,19.262217,4.4322155e-07,1.4058253e-08,6.2876825e-07,53.48,0.011202,0.0096,2e-05,42.0,50.0,71.0,1.47,1.000195,477.30038,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13,0.1,0.012947159,3e-07,1.2e-08,0.026830817,27.104,2.76,44.4,0.9,0.0491,-116.0,0.0,1030.0,1.75,0.34,19.607857,-4.1e-09,-8.27e-11,-3.69e-09,24.56,0.02242,0.04,0.00059,38.0,60.499992,69.0,1.54,1.000067,936.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.002,0.004,0.55,2.3,1.1,0.14,1156.09,35.0,2573.0,968.0,140.0,52.867,0.93,1230.0,97.7,2.6,28.23,8.8e-09,2e-10,8.6e-06,370.944,2.38e-05,0.53,0.0007,190.0,180.0,154.0,2.27,1.1203773,3200.0,21.0,4.7e-08,6.3,3.3,10.0,0.18523337,7e-05,832.90234,0.69,0.5,0.0
11,0.06,0.07,12.0,2.9,0.13,0.027,1363.0,41.411804,2335.2869,1738.0,160.0,-40.0,1.31,1020.0,128.0,8.7,24.869,6.9e-09,1.68e-10,1.2e-05,923.0,1.4e-05,0.063,1e-04,145.0,150.0,130.0,1.73,1.3272692,4602.0,23.0,4.4e-08,45.0,17.0,45.0,0.29,2.48e-05,1002.5542,260.0,2.5,0.0
12,0.005,0.006,0.91,8.1,5e-07,9e-05,2743.0,48.027245,1713.7642,2700.0,235.0,41.762,1.61,904.0,293.0,10.7,24.2,7.8e-09,2.1e-10,2.11e-05,933.47,9.99e-06,0.233,0.03,118.0,125.0,118.0,1.84,1.5620995,5100.0,38.0,2.6e-08,76.0,26.0,70.0,0.35,2.31e-05,167.0,245.0,2.75,1.175
