,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.943,0.994,0.954,1.0,0.997,0.998,1.0,0.993,12
rotated_tetra,0.943,1.0,0.963,0.999,0.94,0.962,0.926,0.941,0.967,4
oct-like,0.994,0.963,1.0,0.97,0.992,0.998,0.985,0.993,0.999,8
tetra,0.954,0.999,0.97,1.0,0.951,0.97,0.938,0.952,0.973,4
dod-like,1.0,0.94,0.992,0.951,1.0,0.995,0.999,1.0,0.991,12
oct,0.997,0.962,0.998,0.97,0.995,1.0,0.989,0.995,0.997,8
cube-like,0.998,0.926,0.985,0.938,0.999,0.989,1.0,0.998,0.985,16
dod,1.0,0.941,0.993,0.952,1.0,0.995,0.998,1.0,0.992,12
cube,0.993,0.967,0.999,0.973,0.991,0.997,0.985,0.992,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
