,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,0.0,0.336,0.107,0.304,0.023,0.083,0.068,0.018,0.115,12
rotated_tetra,0.336,0.0,0.271,0.043,0.347,0.274,0.386,0.343,0.256,4
oct-like,0.107,0.271,0.0,0.246,0.126,0.057,0.173,0.12,0.043,8
tetra,0.304,0.043,0.246,0.0,0.314,0.244,0.352,0.31,0.231,4
dod-like,0.023,0.347,0.126,0.314,0.0,0.102,0.051,0.006,0.131,12
oct,0.083,0.274,0.057,0.244,0.102,0.0,0.15,0.097,0.073,8
cube-like,0.068,0.386,0.173,0.352,0.051,0.15,0.0,0.055,0.175,16
dod,0.018,0.343,0.12,0.31,0.006,0.097,0.055,0.0,0.125,12
cube,0.115,0.256,0.043,0.231,0.131,0.073,0.175,0.125,0.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
