,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.515,1.0,0.243,0.767,1.0,0.668,0.736,0.838,0.739,0.967,4
tetra-like,0.515,1.0,0.505,0.886,0.885,0.505,0.896,0.885,0.881,0.884,0.689,12
rotated_tetra,1.0,0.505,1.0,0.231,0.757,1.0,0.657,0.725,0.83,0.729,0.962,4
cube-like_2,0.243,0.886,0.231,1.0,0.725,0.231,0.853,0.757,0.66,0.785,0.447,16
oct-like,0.767,0.885,0.757,0.725,1.0,0.757,0.963,0.992,0.96,0.987,0.894,8
tetra,1.0,0.505,1.0,0.231,0.757,1.0,0.657,0.725,0.83,0.729,0.962,4
dod-like,0.668,0.896,0.657,0.853,0.963,0.657,1.0,0.972,0.909,0.989,0.82,12
cube-like_1,0.736,0.885,0.725,0.757,0.992,0.725,0.972,1.0,0.942,0.994,0.875,10
oct,0.838,0.881,0.83,0.66,0.96,0.83,0.909,0.942,1.0,0.943,0.94,8
dod,0.739,0.884,0.729,0.785,0.987,0.729,0.989,0.994,0.943,1.0,0.878,12
cube,0.967,0.689,0.962,0.447,0.894,0.962,0.82,0.875,0.94,0.878,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
