,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,63.39576721191406,-38.69868850708008,-28.80333709716797,38.89957046508789,61.27854537963867,-24.895095825195312,32.94221878051758,49.87785720825195,-27.241764068603516,4
tetra-like,44.856689453125,-6.704760551452637,9.374159812927246,32.884971618652344,74.27203369140625,9.4097900390625,32.76397705078125,54.85243225097656,92.6350326538086,12
rotated_tetra,64.79178619384766,-40.55080795288086,-29.690820693969727,40.82963562011719,61.511695861816406,-26.550365447998047,33.947425842285156,50.91741180419922,-29.020267486572266,4
cube-like_2,42.18251037597656,19.070472717285156,76.62113189697266,14.985880851745605,72.54261779785156,8.346263885498047,15.88728141784668,57.604957580566406,101.7242431640625,16
oct-like,73.97177124023438,-14.639800071716309,-5.22413444519043,33.811527252197266,132.64840698242188,-5.299439430236816,29.840852737426758,52.35607147216797,49.00028991699219,8
tetra,64.79178619384766,-40.55080795288086,-29.690820693969727,40.82963562011719,61.511695861816406,-26.550365447998047,33.947425842285156,50.91741180419922,-29.020267486572266,4
dod-like,74.13056182861328,1.3806524276733398,34.58155059814453,24.331653594970703,120.35987854003906,-2.2209787368774414,25.626686096191406,62.61037063598633,50.764137268066406,12
cube-like_1,100.23036193847656,-9.485694885253906,4.172943115234375,31.614612579345703,146.083251953125,-10.339221000671387,30.683685302734375,51.550437927246094,61.82792282104492,10
oct,74.57225036621094,-27.156667709350586,-17.25122833251953,46.81795120239258,94.08799743652344,9.746316909790039,33.14918518066406,65.8125991821289,38.950767517089844,8
dod,80.77777099609375,-4.31329345703125,15.659662246704102,28.196287155151367,117.23017883300781,-4.956159591674805,27.543025970458984,51.812442779541016,43.733367919921875,12
cube,81.84030151367188,-30.27310562133789,-23.94805908203125,42.384239196777344,84.14806365966797,-13.981740951538086,33.1556282043457,57.41889572143555,-5.693948745727539,6
