,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.47,0.999,-0.227,0.809,0.999,0.558,0.721,0.813,0.753,0.962,4
tetra-like,0.47,1.0,0.445,0.658,0.889,0.445,0.976,0.946,0.884,0.913,0.683,12
rotated_tetra,0.999,0.445,1.0,-0.245,0.791,1.0,0.537,0.701,0.796,0.737,0.955,4
cube-like_2,-0.227,0.658,-0.245,1.0,0.278,-0.245,0.649,0.449,0.292,0.438,0.023,16
oct-like,0.809,0.889,0.791,0.278,1.0,0.791,0.903,0.978,0.997,0.963,0.931,8
tetra,0.999,0.445,1.0,-0.245,0.791,1.0,0.537,0.701,0.796,0.737,0.955,4
dod-like,0.558,0.976,0.537,0.649,0.903,0.537,1.0,0.969,0.909,0.963,0.755,12
cube-like_1,0.721,0.946,0.701,0.449,0.978,0.701,0.969,1.0,0.977,0.99,0.875,10
oct,0.813,0.884,0.796,0.292,0.997,0.796,0.909,0.977,1.0,0.969,0.938,8
dod,0.753,0.913,0.737,0.438,0.963,0.737,0.963,0.99,0.969,1.0,0.896,12
cube,0.962,0.683,0.955,0.023,0.931,0.955,0.755,0.875,0.938,0.896,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
