,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,1.029,0.032,1.566,0.618,0.032,0.941,0.747,0.612,0.702,0.274,4
tetra-like,1.029,0.0,1.053,0.827,0.472,1.053,0.217,0.329,0.482,0.417,0.797,12
rotated_tetra,0.032,1.053,0.0,1.578,0.646,0.0,0.963,0.773,0.639,0.725,0.301,4
cube-like_2,1.566,0.827,1.578,0.0,1.202,1.578,0.838,1.05,1.19,1.061,1.398,16
oct-like,0.618,0.472,0.646,1.202,0.0,0.646,0.44,0.21,0.076,0.272,0.372,8
tetra,0.032,1.053,0.0,1.578,0.646,0.0,0.963,0.773,0.639,0.725,0.301,4
dod-like,0.941,0.217,0.963,0.838,0.44,0.963,0.0,0.247,0.427,0.27,0.701,12
cube-like_1,0.747,0.329,0.773,1.05,0.21,0.773,0.247,0.0,0.216,0.141,0.5,10
oct,0.612,0.482,0.639,1.19,0.076,0.639,0.427,0.216,0.0,0.249,0.353,8
dod,0.702,0.417,0.725,1.061,0.272,0.725,0.27,0.141,0.249,0.0,0.456,12
cube,0.274,0.797,0.301,1.398,0.372,0.301,0.701,0.5,0.353,0.456,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
