,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.556,1.0,0.222,0.801,1.0,0.627,0.75,0.717,0.715,0.961,4
tetra-like,0.556,1.0,0.542,0.874,0.934,0.542,0.982,0.958,0.973,0.975,0.605,12
rotated_tetra,1.0,0.542,1.0,0.201,0.793,1.0,0.612,0.741,0.706,0.704,0.956,4
cube-like_2,0.222,0.874,0.201,1.0,0.688,0.201,0.861,0.734,0.774,0.793,0.316,16
oct-like,0.801,0.934,0.793,0.688,1.0,0.793,0.948,0.996,0.988,0.985,0.808,8
tetra,1.0,0.542,1.0,0.201,0.793,1.0,0.612,0.741,0.706,0.704,0.956,4
dod-like,0.627,0.982,0.612,0.861,0.948,0.612,1.0,0.967,0.972,0.988,0.656,12
cube-like_1,0.75,0.958,0.741,0.734,0.996,0.741,0.967,1.0,0.995,0.993,0.769,10
oct,0.717,0.973,0.706,0.774,0.988,0.706,0.972,0.995,1.0,0.993,0.752,8
dod,0.715,0.975,0.704,0.793,0.985,0.704,0.988,0.993,0.993,1.0,0.736,12
cube,0.961,0.605,0.956,0.316,0.808,0.956,0.656,0.769,0.752,0.736,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
