,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,0.942,0.031,1.247,0.631,0.031,0.864,0.707,0.752,0.754,0.278,4
tetra-like,0.942,0.0,0.957,0.503,0.364,0.957,0.189,0.289,0.232,0.225,0.888,12
rotated_tetra,0.031,0.957,0.0,1.264,0.643,0.0,0.881,0.719,0.767,0.769,0.297,4
cube-like_2,1.247,0.503,1.264,0.0,0.79,1.264,0.527,0.729,0.672,0.643,1.17,16
oct-like,0.631,0.364,0.643,0.79,0.0,0.643,0.321,0.089,0.153,0.174,0.62,8
tetra,0.031,0.957,0.0,1.264,0.643,0.0,0.881,0.719,0.767,0.769,0.297,4
dod-like,0.864,0.189,0.881,0.527,0.321,0.881,0.0,0.255,0.236,0.152,0.829,12
cube-like_1,0.707,0.289,0.719,0.729,0.089,0.719,0.255,0.0,0.097,0.116,0.68,10
oct,0.752,0.232,0.767,0.672,0.153,0.767,0.236,0.097,0.0,0.119,0.704,8
dod,0.754,0.225,0.769,0.643,0.174,0.769,0.152,0.116,0.119,0.0,0.727,12
cube,0.278,0.888,0.297,1.17,0.62,0.297,0.829,0.68,0.704,0.727,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
