,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,44.23759078979492,-17.763418197631836,-13.605446815490723,49.020263671875,-13.698525428771973,54.58442687988281,-11.96751594543457,50.62006378173828,-13.725136756896973,4
tetra-like,36.58091735839844,15.592829704284668,-1.3948290348052979,41.40717315673828,74.9249267578125,117.42932891845703,0.207444429397583,122.0679931640625,121.2469711303711,12
rotated_tetra,42.30419921875,-18.35422134399414,-13.976480484008789,48.035316467285156,-15.549077987670898,54.21842956542969,-12.621740341186523,51.14436340332031,-14.969674110412598,4
cube-like_2,27.86636734008789,75.36734008789062,19.746837615966797,31.714263916015625,85.3436508178711,56.90105438232422,29.615495681762695,62.199058532714844,111.624755859375,16
oct-like,31.92670249938965,-5.368063926696777,-7.0246171951293945,45.241268157958984,20.02440643310547,97.0765380859375,-6.254803657531738,84.6844253540039,47.91021728515625,8
tetra,42.30419921875,-18.35422134399414,-13.976480484008789,48.035316467285156,-15.549077987670898,54.21842956542969,-12.621740341186523,51.14436340332031,-14.969674110412598,4
dod-like,27.304607391357422,10.128392219543457,3.0918455123901367,49.495609283447266,37.948448181152344,73.31231689453125,1.7777049541473389,69.14620208740234,74.16124725341797,12
cube-like_1,27.736003875732422,-3.2156946659088135,-2.9044971466064453,37.5494270324707,21.120628356933594,86.49922943115234,-4.157264709472656,75.53721618652344,53.7097053527832,10
oct,59.78449630737305,1.6184117794036865,-6.553905487060547,61.29927062988281,60.80255126953125,166.47921752929688,-2.558026075363159,143.4480438232422,103.42839813232422,8
dod,28.8109188079834,3.8007545471191406,-3.022940158843994,44.8132209777832,29.38654899597168,79.82125091552734,-1.9927846193313599,75.92085266113281,60.26482009887695,12
cube,89.67845916748047,-16.189224243164062,-12.21434211730957,45.39768600463867,-12.580477714538574,78.05986785888672,-11.988715171813965,65.63967895507812,-7.912502288818359,6
