,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.481,0.87,0.49,0.938,0.985,0.851,0.941,0.637,12
rotated_tetra,0.481,1.0,0.683,1.0,0.54,0.556,0.276,0.528,0.755,4
oct-like,0.87,0.683,1.0,0.685,0.83,0.896,0.56,0.836,0.886,8
tetra,0.49,1.0,0.685,1.0,0.547,0.565,0.291,0.535,0.754,4
dod-like,0.938,0.54,0.83,0.547,1.0,0.899,0.909,0.998,0.721,12
oct,0.985,0.556,0.896,0.565,0.899,1.0,0.781,0.901,0.675,8
cube-like,0.851,0.276,0.56,0.291,0.909,0.781,1.0,0.901,0.398,16
dod,0.941,0.528,0.836,0.535,0.998,0.901,0.901,1.0,0.718,12
cube,0.637,0.755,0.886,0.754,0.721,0.675,0.398,0.718,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
