,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,0.0,1.019,0.509,1.01,0.353,0.172,0.546,0.345,0.852,12
rotated_tetra,1.019,0.0,0.797,0.028,0.96,0.942,1.203,0.972,0.7,4
oct-like,0.509,0.797,0.0,0.794,0.584,0.456,0.939,0.572,0.478,8
tetra,1.01,0.028,0.794,0.0,0.951,0.933,1.191,0.964,0.702,4
dod-like,0.353,0.96,0.584,0.951,0.0,0.45,0.427,0.06,0.747,12
oct,0.172,0.942,0.456,0.933,0.45,0.0,0.662,0.444,0.806,8
cube-like,0.546,1.203,0.939,1.191,0.427,0.662,0.0,0.446,1.097,16
dod,0.345,0.972,0.572,0.964,0.06,0.444,0.446,0.0,0.751,12
cube,0.852,0.7,0.478,0.702,0.747,0.806,1.097,0.751,0.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
