,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.35,0.968,0.202,0.979,0.985,0.974,0.979,0.836,12
rotated_tetra,0.35,1.0,0.556,0.937,0.368,0.453,0.261,0.385,0.715,4
oct-like,0.968,0.556,1.0,0.426,0.949,0.988,0.913,0.952,0.93,8
tetra,0.202,0.937,0.426,1.0,0.212,0.327,0.1,0.224,0.657,4
dod-like,0.979,0.368,0.949,0.212,1.0,0.961,0.992,0.999,0.837,12
oct,0.985,0.453,0.988,0.327,0.961,1.0,0.939,0.96,0.906,8
cube-like,0.974,0.261,0.913,0.1,0.992,0.939,1.0,0.989,0.773,16
dod,0.979,0.385,0.952,0.224,0.999,0.96,0.989,1.0,0.836,12
cube,0.836,0.715,0.93,0.657,0.837,0.906,0.773,0.836,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
