,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,0.0,1.14,0.253,1.264,0.203,0.174,0.229,0.204,0.573,12
rotated_tetra,1.14,0.0,0.942,0.356,1.124,1.046,1.216,1.109,0.755,4
oct-like,0.253,0.942,0.0,1.072,0.321,0.156,0.417,0.309,0.375,8
tetra,1.264,0.356,1.072,0.0,1.255,1.16,1.342,1.246,0.828,4
dod-like,0.203,1.124,0.321,1.255,0.0,0.278,0.127,0.044,0.57,12
oct,0.174,1.046,0.156,1.16,0.278,0.0,0.349,0.281,0.434,8
cube-like,0.229,1.216,0.417,1.342,0.127,0.349,0.0,0.145,0.674,16
dod,0.204,1.109,0.309,1.246,0.044,0.281,0.145,0.0,0.573,12
cube,0.573,0.755,0.375,0.828,0.57,0.434,0.674,0.573,0.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
