,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.414,0.819,0.417,0.921,0.981,0.87,0.93,0.668,12
rotated_tetra,0.414,1.0,0.705,0.999,0.507,0.539,0.273,0.51,0.856,4
oct-like,0.819,0.705,1.0,0.695,0.855,0.897,0.599,0.859,0.948,8
tetra,0.417,0.999,0.695,1.0,0.51,0.538,0.287,0.512,0.848,4
dod-like,0.921,0.507,0.855,0.51,1.0,0.947,0.921,0.997,0.77,12
oct,0.981,0.539,0.897,0.538,0.947,1.0,0.838,0.958,0.788,8
cube-like,0.87,0.273,0.599,0.287,0.921,0.838,1.0,0.915,0.491,16
dod,0.93,0.51,0.859,0.512,0.997,0.958,0.915,1.0,0.772,12
cube,0.668,0.856,0.948,0.848,0.77,0.788,0.491,0.772,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
