,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,0.0,1.082,0.602,1.08,0.397,0.196,0.51,0.375,0.815,12
rotated_tetra,1.082,0.0,0.769,0.037,0.993,0.96,1.206,0.99,0.537,4
oct-like,0.602,0.769,0.0,0.781,0.539,0.454,0.895,0.53,0.323,8
tetra,1.08,0.037,0.781,0.0,0.99,0.962,1.195,0.988,0.552,4
dod-like,0.397,0.993,0.539,0.99,0.0,0.326,0.397,0.071,0.678,12
oct,0.196,0.96,0.454,0.962,0.326,0.0,0.57,0.292,0.651,8
cube-like,0.51,1.206,0.895,1.195,0.397,0.57,0.0,0.413,1.009,16
dod,0.375,0.99,0.53,0.988,0.071,0.292,0.413,0.0,0.676,12
cube,0.815,0.537,0.323,0.552,0.678,0.651,1.009,0.676,0.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
