,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.418,0.782,0.402,0.902,0.979,0.849,0.91,0.611,12
rotated_tetra,0.418,1.0,0.691,0.999,0.499,0.541,0.263,0.514,0.831,4
oct-like,0.782,0.691,1.0,0.672,0.814,0.874,0.525,0.828,0.944,8
tetra,0.402,0.999,0.672,1.0,0.484,0.524,0.253,0.5,0.816,4
dod-like,0.902,0.499,0.814,0.484,1.0,0.936,0.91,0.997,0.73,12
oct,0.979,0.541,0.874,0.524,0.936,1.0,0.813,0.942,0.745,8
cube-like,0.849,0.263,0.525,0.253,0.91,0.813,1.0,0.901,0.411,16
dod,0.91,0.514,0.828,0.5,0.997,0.942,0.901,1.0,0.735,12
cube,0.611,0.831,0.944,0.816,0.73,0.745,0.411,0.735,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
