,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,0.946,0.033,1.332,0.671,0.033,0.866,0.714,0.749,0.725,0.28,4
tetra-like,0.946,0.0,0.972,0.518,0.306,0.972,0.157,0.265,0.23,0.258,0.703,12
rotated_tetra,0.033,0.972,0.0,1.355,0.699,0.0,0.894,0.742,0.777,0.754,0.309,4
cube-like_2,1.332,0.518,1.355,0.0,0.785,1.355,0.577,0.734,0.717,0.724,1.129,16
oct-like,0.671,0.306,0.699,0.785,0.0,0.699,0.246,0.068,0.088,0.1,0.41,8
tetra,0.033,0.972,0.0,1.355,0.699,0.0,0.894,0.742,0.777,0.754,0.309,4
dod-like,0.866,0.157,0.894,0.577,0.246,0.894,0.0,0.186,0.196,0.161,0.621,12
cube-like_1,0.714,0.265,0.742,0.734,0.068,0.742,0.186,0.0,0.081,0.053,0.457,10
oct,0.749,0.23,0.777,0.717,0.088,0.777,0.196,0.081,0.0,0.105,0.49,8
dod,0.725,0.258,0.754,0.724,0.1,0.754,0.161,0.053,0.105,0.0,0.47,12
cube,0.28,0.703,0.309,1.129,0.41,0.309,0.621,0.457,0.49,0.47,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
