,0,1,2,3,4,5,6,7,8,n_nodes
scaled_tetra,17.186302185058594,-27.828468322753906,-26.36965560913086,26.979755401611328,-20.93910789489746,53.755279541015625,-21.586788177490234,48.85322570800781,-30.367671966552734,4
tetra-like,26.54204559326172,6.246740341186523,-8.270438194274902,34.61070251464844,42.52925109863281,100.92021942138672,-9.282711029052734,111.2190170288086,67.83423614501953,12
rotated_tetra,16.893291473388672,-28.5211124420166,-26.650493621826172,25.77943229675293,-22.577417373657227,52.365516662597656,-22.19271469116211,48.19285202026367,-32.117042541503906,4
cube-like_2,23.232868194580078,47.394229888916016,13.468391418457031,27.65937614440918,59.458221435546875,49.006988525390625,11.131175994873047,62.05360794067383,70.3796157836914,16
oct-like,22.63176727294922,-9.96859359741211,-14.362602233886719,30.00784683227539,12.35301399230957,87.1017837524414,-13.978880882263184,83.45623779296875,23.378652572631836,8
tetra,16.893291473388672,-28.5211124420166,-26.650493621826172,25.77943229675293,-22.577417373657227,52.365516662597656,-22.19271469116211,48.19285202026367,-32.11703872680664,4
dod-like,23.155437469482422,4.046216011047363,-4.8185343742370605,35.06394958496094,21.717647552490234,69.18661499023438,-10.052803039550781,67.81730651855469,37.218360900878906,12
cube-like_1,22.50080108642578,-4.324602127075195,-12.027297973632812,30.265037536621094,14.779899597167969,79.06829071044922,-13.752976417541504,73.73250579833984,24.721914291381836,10
oct,29.75757598876953,-8.778827667236328,-18.444501876831055,42.33489227294922,25.310405731201172,132.5061798095703,-14.384053230285645,128.0122528076172,47.000343322753906,8
dod,20.43783950805664,-4.823204040527344,-9.63778305053711,33.147804260253906,13.546952247619629,72.47992706298828,-13.598228454589844,69.89620971679688,25.784849166870117,12
cube,21.331676483154297,-26.32320785522461,-23.144655227661133,34.33583068847656,-16.099018096923828,82.06277465820312,-20.727745056152344,72.92425537109375,-14.592084884643555,6
