,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,0.762,0.0,1.093,0.403,0.0,0.831,0.616,0.459,0.828,0.25,4
tetra-like,0.762,0.0,0.762,0.43,0.4,0.762,0.165,0.192,0.33,0.164,0.578,12
rotated_tetra,0.0,0.762,0.0,1.093,0.403,0.0,0.831,0.616,0.459,0.828,0.25,4
cube-like_2,1.093,0.43,1.093,0.0,0.785,1.093,0.331,0.568,0.719,0.33,0.944,16
oct-like,0.403,0.4,0.403,0.785,0.0,0.403,0.485,0.241,0.087,0.484,0.188,8
tetra,0.0,0.762,0.0,1.093,0.403,0.0,0.831,0.616,0.459,0.828,0.25,4
dod-like,0.831,0.165,0.831,0.331,0.485,0.831,0.0,0.254,0.426,0.009,0.653,12
cube-like_1,0.616,0.192,0.616,0.568,0.241,0.616,0.254,0.0,0.188,0.252,0.414,10
oct,0.459,0.33,0.459,0.719,0.087,0.459,0.426,0.188,0.0,0.423,0.263,8
dod,0.828,0.164,0.828,0.33,0.484,0.828,0.009,0.252,0.423,0.0,0.652,12
cube,0.25,0.578,0.25,0.944,0.188,0.25,0.653,0.414,0.263,0.652,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
