,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,1.0,0.877,0.924,0.893,0.991,0.97,0.998,0.996,0.87,12
rotated_tetra,0.877,1.0,0.971,0.997,0.911,0.966,0.868,0.888,0.968,4
oct-like,0.924,0.971,1.0,0.964,0.958,0.975,0.918,0.934,0.975,8
tetra,0.893,0.997,0.964,1.0,0.917,0.974,0.882,0.9,0.959,4
dod-like,0.991,0.911,0.958,0.917,1.0,0.981,0.992,0.996,0.911,12
oct,0.97,0.966,0.975,0.974,0.981,1.0,0.963,0.973,0.952,8
cube-like,0.998,0.868,0.918,0.882,0.992,0.963,1.0,0.998,0.861,16
dod,0.996,0.888,0.934,0.9,0.996,0.973,0.998,1.0,0.885,12
cube,0.87,0.968,0.975,0.959,0.911,0.952,0.861,0.885,1.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
