,tetra-like,rotated_tetra,oct-like,tetra,dod-like,oct,cube-like,dod,cube,n_nodes
tetra-like,0.0,0.495,0.391,0.462,0.137,0.245,0.068,0.085,0.509,12
rotated_tetra,0.495,0.0,0.24,0.078,0.422,0.261,0.513,0.473,0.253,4
oct-like,0.391,0.24,0.0,0.27,0.291,0.222,0.406,0.362,0.222,8
tetra,0.462,0.078,0.27,0.0,0.406,0.229,0.485,0.448,0.287,4
dod-like,0.137,0.422,0.291,0.406,0.0,0.196,0.126,0.085,0.423,12
oct,0.245,0.261,0.222,0.229,0.196,0.0,0.271,0.231,0.308,8
cube-like,0.068,0.513,0.406,0.485,0.126,0.271,0.0,0.067,0.527,16
dod,0.085,0.473,0.362,0.448,0.085,0.231,0.067,0.0,0.479,12
cube,0.509,0.253,0.222,0.287,0.423,0.308,0.527,0.479,0.0,6
n_nodes,12.0,4.0,8.0,4.0,12.0,8.0,16.0,12.0,6.0,0
