,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,0.878,0.12,1.276,0.66,0.12,0.77,0.696,0.583,0.559,0.314,4
tetra-like,0.878,0.0,0.927,0.683,0.307,0.927,0.343,0.327,0.431,0.453,0.721,12
rotated_tetra,0.12,0.927,0.0,1.323,0.708,0.0,0.82,0.745,0.627,0.599,0.329,4
cube-like_2,1.276,0.683,1.323,0.0,0.917,1.323,0.653,0.882,0.953,0.893,1.185,16
oct-like,0.66,0.307,0.708,0.917,0.0,0.708,0.408,0.144,0.203,0.318,0.461,8
tetra,0.12,0.927,0.0,1.323,0.708,0.0,0.82,0.745,0.627,0.599,0.329,4
dod-like,0.77,0.343,0.82,0.653,0.408,0.82,0.0,0.36,0.417,0.297,0.643,12
cube-like_1,0.696,0.327,0.745,0.882,0.144,0.745,0.36,0.0,0.188,0.292,0.49,10
oct,0.583,0.431,0.627,0.953,0.203,0.627,0.417,0.188,0.0,0.242,0.378,8
dod,0.559,0.453,0.599,0.893,0.318,0.599,0.297,0.292,0.242,0.0,0.415,12
cube,0.314,0.721,0.329,1.185,0.461,0.329,0.643,0.49,0.378,0.415,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
