,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n_nodes
scaled_tetra,14.779718399047852,36.375267028808594,15.76937484741211,58.54850769042969,40.483516693115234,33.43000030517578,-16.92873764038086,-13.965226173400879,-9.920907020568848,-11.487905502319336,38.223365783691406,-5.166864395141602,-18.964378356933594,31.936269760131836,19.407604217529297,39.27259826660156,-12.5459623336792,-4.834683895111084,27.854084014892578,-15.044498443603516,51.46039962768555,36.6485710144043,-15.881523132324219,-14.813158988952637,-16.090763092041016,43.6650505065918,66.05217742919922,-16.211336135864258,12.543802261352539,4
tetra-like,19.525981903076172,43.89522171020508,10.779439926147461,167.65023803710938,44.30678939819336,16.472896575927734,-3.872274160385132,63.48310470581055,62.73521423339844,47.62923049926758,35.08282470703125,25.09446907043457,-3.9889073371887207,12.365278244018555,9.256223678588867,23.709131240844727,-5.458134174346924,2.852966070175171,41.93064498901367,18.568408966064453,68.53752136230469,37.76533508300781,0.8338966369628906,-4.655849933624268,-6.783808708190918,22.024627685546875,19.316640853881836,10.899261474609375,40.296836853027344,12
rotated_tetra,13.2357177734375,29.099720001220703,15.198415756225586,46.46757888793945,36.41962814331055,28.83153533935547,-18.525901794433594,-13.893835067749023,-10.48929500579834,-12.307969093322754,31.07215690612793,-5.051361560821533,-19.03316879272461,31.480886459350586,20.32723617553711,35.585487365722656,-14.34901237487793,-7.226832389831543,24.364215850830078,-15.242538452148438,45.745296478271484,34.354339599609375,-16.090356826782227,-14.918058395385742,-15.206403732299805,27.536178588867188,57.45315170288086,-17.402732849121094,5.747552394866943,4
cube-like_2,2.6540443897247314,20.108684539794922,3.7109580039978027,67.16606903076172,10.450692176818848,5.761364936828613,16.368234634399414,73.64612579345703,68.07757568359375,63.25555419921875,21.059642791748047,81.4308853149414,24.211400985717773,9.807044982910156,3.7884154319763184,11.232824325561523,5.293406963348389,9.915718078613281,6.912886619567871,41.23357009887695,29.49977684020996,6.495467185974121,20.266347885131836,3.878708839416504,1.5869722366333008,14.240028381347656,9.368213653564453,33.94212341308594,59.46702575683594,16
oct-like,15.036847114562988,55.61819839477539,9.883993148803711,146.3745574951172,48.13237762451172,20.545116424560547,-8.421061515808105,30.3620548248291,33.0430793762207,11.155525207519531,42.41025924682617,6.267545700073242,-9.518440246582031,10.91761302947998,11.22897720336914,32.842689514160156,-8.151395797729492,0.6828357577323914,35.197425842285156,-3.0682287216186523,70.35980224609375,45.65703582763672,-7.21186637878418,-7.248775005340576,-9.143865585327148,22.709152221679688,26.00063705444336,-0.7723650932312012,26.390121459960938,8
tetra,13.2357177734375,29.099720001220703,15.198415756225586,46.46757888793945,36.41962814331055,28.83153533935547,-18.525901794433594,-13.893835067749023,-10.48929500579834,-12.307969093322754,31.07215690612793,-5.051361560821533,-19.03316879272461,31.480886459350586,20.32723617553711,35.585487365722656,-14.34901237487793,-7.226832389831543,24.364215850830078,-15.242538452148438,45.745296478271484,34.354339599609375,-16.090356826782227,-14.918058395385742,-15.206403732299805,27.536178588867188,57.45315170288086,-17.402732849121094,5.747552394866943,4
dod-like,5.89001989364624,36.926963806152344,7.91853141784668,71.284912109375,24.157699584960938,13.74979305267334,-10.566324234008789,32.42750549316406,28.37771987915039,22.37894058227539,24.04376983642578,34.87190628051758,-7.636682033538818,14.662494659423828,8.873687744140625,20.114727020263672,-6.634641170501709,1.001926302909851,14.683816909790039,10.234607696533203,35.84163284301758,21.09851837158203,-2.111443281173706,-8.892253875732422,-7.643763065338135,17.316083908081055,23.164810180664062,-2.2116293907165527,36.12183380126953,12
cube-like_1,7.934973239898682,75.54993438720703,8.782552719116211,156.7177276611328,54.06874084472656,16.858943939208984,-12.361376762390137,40.04425811767578,41.239723205566406,7.563267230987549,39.643280029296875,12.486553192138672,-10.45703411102295,11.05725383758545,9.609333992004395,39.90385437011719,-8.159683227539062,-1.8347456455230713,24.608348846435547,-3.6846001148223877,79.35411834716797,43.71224594116211,-5.311348915100098,-8.385982513427734,-9.918445587158203,24.48541831970215,27.17638397216797,-4.759592056274414,45.62476348876953,10
oct,11.16565990447998,73.39492797851562,13.370028495788574,154.4308624267578,44.044124603271484,20.690961837768555,-11.491609573364258,25.21201515197754,28.95168685913086,1.5744943618774414,37.11259841918945,15.791534423828125,-12.838083267211914,20.1468505859375,14.07573127746582,59.423583984375,-11.066485404968262,-4.485625267028809,26.312768936157227,-7.423118591308594,95.9566421508789,49.62687683105469,-10.027990341186523,-8.613672256469727,-11.326772689819336,23.55215835571289,47.869380950927734,-1.3855562210083008,35.27280807495117,8
dod,4.692150592803955,35.47101593017578,9.301826477050781,62.68456268310547,19.246273040771484,16.659847259521484,-13.626298904418945,21.99737548828125,13.866321563720703,6.843143939971924,21.48664665222168,16.66710662841797,-10.049161911010742,16.699825286865234,11.309135437011719,22.620656967163086,-8.919273376464844,-2.0293498039245605,16.05215835571289,-2.2453322410583496,45.907737731933594,23.066997528076172,-7.060137748718262,-9.634822845458984,-9.935683250427246,14.866580963134766,25.69955825805664,-4.007430553436279,24.262134552001953,12
cube,8.219398498535156,46.67369079589844,11.92313003540039,79.76229095458984,50.86527633666992,26.747652053833008,-16.396217346191406,-8.64191722869873,1.1479663848876953,-10.531275749206543,42.56660842895508,0.3503625988960266,-16.33343505859375,22.860307693481445,20.449081420898438,48.825157165527344,-13.338262557983398,-2.8062658309936523,22.892860412597656,-13.081148147583008,63.969730377197266,42.24302673339844,-15.025571823120117,-12.222926139831543,-13.871416091918945,20.480497360229492,39.29383850097656,-12.036565780639648,14.084856986999512,6
