,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.378,0.979,0.104,0.682,0.979,0.538,0.654,0.758,0.673,0.97,4
tetra-like,0.378,1.0,0.331,0.829,0.804,0.331,0.939,0.823,0.818,0.843,0.376,12
rotated_tetra,0.979,0.331,1.0,0.026,0.659,1.0,0.502,0.635,0.744,0.672,0.972,4
cube-like_2,0.104,0.829,0.026,1.0,0.478,0.026,0.784,0.512,0.501,0.546,0.115,16
oct-like,0.682,0.804,0.659,0.478,1.0,0.659,0.867,0.96,0.968,0.924,0.635,8
tetra,0.979,0.331,1.0,0.026,0.659,1.0,0.502,0.635,0.744,0.672,0.972,4
dod-like,0.538,0.939,0.502,0.784,0.867,0.502,1.0,0.918,0.894,0.943,0.553,12
cube-like_1,0.654,0.823,0.635,0.512,0.96,0.635,0.918,1.0,0.963,0.977,0.648,10
oct,0.758,0.818,0.744,0.501,0.968,0.744,0.894,0.963,1.0,0.961,0.743,8
dod,0.673,0.843,0.672,0.546,0.924,0.672,0.943,0.977,0.961,1.0,0.698,12
cube,0.97,0.376,0.972,0.115,0.635,0.972,0.553,0.648,0.743,0.698,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
