,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.411,1.0,0.118,0.805,1.0,0.427,0.632,0.682,0.423,0.931,4
tetra-like,0.411,1.0,0.411,0.889,0.748,0.411,0.961,0.919,0.919,0.961,0.546,12
rotated_tetra,1.0,0.411,1.0,0.118,0.805,1.0,0.427,0.632,0.682,0.423,0.931,4
cube-like_2,0.118,0.889,0.118,1.0,0.46,0.118,0.928,0.733,0.696,0.931,0.261,16
oct-like,0.805,0.748,0.805,0.46,1.0,0.805,0.737,0.933,0.934,0.734,0.938,8
tetra,1.0,0.411,1.0,0.118,0.805,1.0,0.427,0.632,0.682,0.423,0.931,4
dod-like,0.427,0.961,0.427,0.928,0.737,0.427,1.0,0.922,0.892,1.0,0.57,12
cube-like_1,0.632,0.919,0.632,0.733,0.933,0.632,0.922,1.0,0.979,0.921,0.796,10
oct,0.682,0.919,0.682,0.696,0.934,0.682,0.892,0.979,1.0,0.89,0.812,8
dod,0.423,0.961,0.423,0.931,0.734,0.423,1.0,0.921,0.89,1.0,0.569,12
cube,0.931,0.546,0.931,0.261,0.938,0.931,0.57,0.796,0.812,0.569,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
