,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,1.085,0.0,1.328,0.624,0.0,1.071,0.858,0.797,1.074,0.372,4
tetra-like,1.085,0.0,1.085,0.472,0.711,1.085,0.278,0.402,0.403,0.28,0.953,12
rotated_tetra,0.0,1.085,0.0,1.328,0.624,0.0,1.071,0.858,0.797,1.074,0.372,4
cube-like_2,1.328,0.472,1.328,0.0,1.04,1.328,0.379,0.73,0.78,0.371,1.216,16
oct-like,0.624,0.711,0.624,1.04,0.0,0.624,0.725,0.367,0.363,0.729,0.353,8
tetra,0.0,1.085,0.0,1.328,0.624,0.0,1.071,0.858,0.797,1.074,0.372,4
dod-like,1.071,0.278,1.071,0.379,0.725,1.071,0.0,0.394,0.465,0.021,0.927,12
cube-like_1,0.858,0.402,0.858,0.73,0.367,0.858,0.394,0.0,0.206,0.399,0.638,10
oct,0.797,0.403,0.797,0.78,0.363,0.797,0.465,0.206,0.0,0.468,0.613,8
dod,1.074,0.28,1.074,0.371,0.729,1.074,0.021,0.399,0.468,0.0,0.929,12
cube,0.372,0.953,0.372,1.216,0.353,0.372,0.927,0.638,0.613,0.929,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
