,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.548,1.0,0.173,0.816,1.0,0.572,0.745,0.786,0.568,0.945,4
tetra-like,0.548,1.0,0.548,0.88,0.768,0.548,0.966,0.871,0.922,0.967,0.669,12
rotated_tetra,1.0,0.548,1.0,0.173,0.816,1.0,0.572,0.745,0.786,0.568,0.945,4
cube-like_2,0.173,0.88,0.173,1.0,0.456,0.173,0.869,0.62,0.667,0.873,0.303,16
oct-like,0.816,0.768,0.816,0.456,1.0,0.816,0.804,0.973,0.904,0.799,0.938,8
tetra,1.0,0.548,1.0,0.173,0.816,1.0,0.572,0.745,0.786,0.568,0.945,4
dod-like,0.572,0.966,0.572,0.869,0.804,0.572,1.0,0.91,0.898,1.0,0.696,12
cube-like_1,0.745,0.871,0.745,0.62,0.973,0.745,0.91,1.0,0.936,0.906,0.884,10
oct,0.786,0.922,0.786,0.667,0.904,0.786,0.898,0.936,1.0,0.897,0.884,8
dod,0.568,0.967,0.568,0.873,0.799,0.568,1.0,0.906,0.897,1.0,0.692,12
cube,0.945,0.669,0.945,0.303,0.938,0.945,0.696,0.884,0.884,0.692,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
