,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,0.0,0.95,0.0,1.286,0.606,0.0,0.925,0.714,0.654,0.93,0.333,4
tetra-like,0.95,0.0,0.95,0.489,0.681,0.95,0.259,0.508,0.396,0.257,0.813,12
rotated_tetra,0.0,0.95,0.0,1.286,0.606,0.0,0.925,0.714,0.654,0.93,0.333,4
cube-like_2,1.286,0.489,1.286,0.0,1.043,1.286,0.511,0.872,0.816,0.503,1.18,16
oct-like,0.606,0.681,0.606,1.043,0.0,0.606,0.626,0.234,0.438,0.634,0.353,8
tetra,0.0,0.95,0.0,1.286,0.606,0.0,0.925,0.714,0.654,0.93,0.333,4
dod-like,0.925,0.259,0.925,0.511,0.626,0.925,0.0,0.424,0.452,0.019,0.78,12
cube-like_1,0.714,0.508,0.714,0.872,0.234,0.714,0.424,0.0,0.358,0.433,0.481,10
oct,0.654,0.396,0.654,0.816,0.438,0.654,0.452,0.358,0.0,0.454,0.482,8
dod,0.93,0.257,0.93,0.503,0.634,0.93,0.019,0.433,0.454,0.0,0.785,12
cube,0.333,0.813,0.333,1.18,0.353,0.333,0.78,0.481,0.482,0.785,0.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
