,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n_nodes
scaled_tetra,-4.322666168212891,30.25680160522461,18.117023468017578,27.134754180908203,-12.078786849975586,-14.989558219909668,-14.057954788208008,-13.232772827148438,10.257208824157715,-12.764873504638672,-14.633584976196289,29.989971160888672,11.412836074829102,22.282373428344727,43.48920822143555,-6.776396751403809,24.60858154296875,18.512296676635742,-10.393455505371094,38.920249938964844,-15.399255752563477,4.5428547859191895,-15.446823120117188,31.556442260742188,14.012263298034668,2.7863564491271973,38.50825500488281,28.459774017333984,31.916099548339844,4
tetra-like,13.52048110961914,49.18254470825195,14.533990859985352,22.24445152282715,-7.524284839630127,7.342107772827148,35.85147476196289,18.750268936157227,14.036155700683594,45.22218704223633,-5.669735908508301,31.938247680664062,12.644399642944336,13.560349464416504,49.22592544555664,35.58295440673828,15.353879928588867,14.666169166564941,-7.264314651489258,15.117986679077148,0.7919023036956787,29.955333709716797,7.547074794769287,26.10961151123047,13.74220085144043,32.90716552734375,15.527938842773438,24.419479370117188,10.389623641967773,12
rotated_tetra,-4.322666168212891,30.25680160522461,18.117023468017578,27.134754180908203,-12.078787803649902,-14.989559173583984,-14.057954788208008,-13.232772827148438,10.257208824157715,-12.764873504638672,-14.633584976196289,29.989971160888672,11.412836074829102,22.282373428344727,43.48920822143555,-6.776396751403809,24.60858154296875,18.512296676635742,-10.393455505371094,38.920249938964844,-15.399255752563477,4.5428547859191895,-15.446823120117188,31.556442260742188,14.012263298034668,2.7863564491271973,38.50825119018555,28.459774017333984,31.916099548339844,4
cube-like_2,37.50642013549805,32.44571304321289,5.813722610473633,10.6598482131958,-0.25471436977386475,23.582704544067383,53.10896301269531,35.55556106567383,5.306623458862305,60.56578826904297,6.412385940551758,24.055349349975586,13.1091890335083,7.862484931945801,23.64733123779297,46.796653747558594,9.225932121276855,18.1024112701416,-3.2260913848876953,5.981023788452148,18.491601943969727,25.03921127319336,23.596542358398438,18.83821678161621,5.288284778594971,28.720386505126953,9.306608200073242,22.50725555419922,5.485226631164551,16
oct-like,3.9363532066345215,43.80493927001953,21.350818634033203,45.19401168823242,-11.834007263183594,-6.66558313369751,-6.918964862823486,-8.823323249816895,10.379572868347168,9.153218269348145,-13.105961799621582,47.002811431884766,14.235652923583984,20.91314125061035,76.20759582519531,17.255395889282227,25.527311325073242,16.570802688598633,-10.852446556091309,14.434305191040039,-12.633916854858398,62.029541015625,-12.766410827636719,62.28950119018555,23.633913040161133,1.3021247386932373,26.399524688720703,24.623825073242188,14.202465057373047,8
tetra,-4.322666168212891,30.25680160522461,18.117021560668945,27.134754180908203,-12.078786849975586,-14.989558219909668,-14.057954788208008,-13.232772827148438,10.257208824157715,-12.764873504638672,-14.633584976196289,29.989973068237305,11.412836074829102,22.282373428344727,43.48920822143555,-6.776397228240967,24.608579635620117,18.512296676635742,-10.393455505371094,38.920249938964844,-15.399255752563477,4.5428547859191895,-15.446823120117188,31.556442260742188,14.012262344360352,2.7863564491271973,38.50825500488281,28.45977020263672,31.916099548339844,4
dod-like,11.821311950683594,31.907278060913086,9.943880081176758,14.828144073486328,-5.697611331939697,6.917268753051758,24.213024139404297,12.903194427490234,7.158932685852051,32.12114715576172,-1.4244354963302612,30.963939666748047,8.063390731811523,12.08202838897705,28.546907424926758,26.49547004699707,13.460338592529297,15.089142799377441,-7.387277603149414,9.9707670211792,2.823613166809082,24.570281982421875,4.561602592468262,25.627046585083008,9.970566749572754,6.348360061645508,15.65897274017334,14.684416770935059,9.38870906829834,12
cube-like_1,6.014225959777832,42.23175811767578,13.426576614379883,29.50369644165039,-10.365926742553711,-0.5130023956298828,10.53876781463623,1.5181922912597656,10.133071899414062,22.91595458984375,-8.945842742919922,44.66139602661133,8.935714721679688,17.694169998168945,59.671138763427734,24.51456642150879,20.985729217529297,16.551401138305664,-10.243921279907227,13.015103340148926,-6.935802459716797,52.032867431640625,-9.31248664855957,47.0271110534668,15.487214088439941,1.5869625806808472,19.034000396728516,20.06768035888672,12.396787643432617,10
oct,8.860557556152344,59.750308990478516,16.44145965576172,31.576786041259766,-9.447914123535156,-1.6803386211395264,18.573240280151367,5.422074317932129,9.701454162597656,18.556289672851562,-9.380176544189453,45.20350646972656,14.805373191833496,18.82602310180664,68.93159484863281,25.769529342651367,27.670137405395508,13.737537384033203,-6.316010475158691,19.633289337158203,-8.565791130065918,32.683387756347656,-5.148985862731934,37.2678337097168,13.886764526367188,32.473175048828125,31.026927947998047,43.2426872253418,14.938190460205078,8
dod,12.49717903137207,32.22401809692383,9.737556457519531,14.834135055541992,-5.6889753341674805,7.088732719421387,24.832223892211914,12.850871086120605,7.295112133026123,31.850162506103516,-1.3113722801208496,31.15245246887207,8.392692565917969,12.06808853149414,28.43441390991211,26.569015502929688,13.306123733520508,14.967554092407227,-7.364739418029785,9.917760848999023,3.304074764251709,23.798803329467773,4.421507835388184,25.1916446685791,9.703391075134277,6.320564270019531,14.950200080871582,14.858254432678223,9.288609504699707,12
cube,-3.181256055831909,35.89568328857422,15.803394317626953,29.647232055664062,-12.431772232055664,-11.492286682128906,-9.718605041503906,-12.473348617553711,10.488136291503906,-8.965826988220215,-13.725102424621582,37.83272933959961,11.78438663482666,23.3687801361084,53.69076156616211,1.5398688316345215,26.31993293762207,17.855201721191406,-12.032135009765625,21.826995849609375,-14.879409790039062,25.5321044921875,-13.723756790161133,40.288795471191406,15.181282043457031,1.5923981666564941,23.10076141357422,37.62587356567383,18.750198364257812,6
