,scaled_tetra,tetra-like,rotated_tetra,cube-like_2,oct-like,tetra,dod-like,cube-like_1,oct,dod,cube,n_nodes
scaled_tetra,1.0,0.516,1.0,0.193,0.84,1.0,0.555,0.713,0.756,0.555,0.964,4
tetra-like,0.516,1.0,0.516,0.892,0.85,0.516,0.977,0.945,0.928,0.975,0.666,12
rotated_tetra,1.0,0.516,1.0,0.193,0.84,1.0,0.555,0.713,0.756,0.555,0.964,4
cube-like_2,0.193,0.892,0.193,1.0,0.607,0.193,0.914,0.778,0.726,0.914,0.372,16
oct-like,0.84,0.85,0.84,0.607,1.0,0.84,0.863,0.968,0.979,0.862,0.941,8
tetra,1.0,0.516,1.0,0.193,0.84,1.0,0.555,0.713,0.756,0.555,0.964,4
dod-like,0.555,0.977,0.555,0.914,0.863,0.555,1.0,0.957,0.929,1.0,0.701,12
cube-like_1,0.713,0.945,0.713,0.778,0.968,0.713,0.957,1.0,0.991,0.957,0.848,10
oct,0.756,0.928,0.756,0.726,0.979,0.756,0.929,0.991,1.0,0.929,0.88,8
dod,0.555,0.975,0.555,0.914,0.862,0.555,1.0,0.957,0.929,1.0,0.702,12
cube,0.964,0.666,0.964,0.372,0.941,0.964,0.701,0.848,0.88,0.702,1.0,6
n_nodes,4.0,12.0,4.0,16.0,8.0,4.0,12.0,10.0,8.0,12.0,6.0,0
