,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,n_nodes
scaled_tetra,4.910677909851074,35.10631561279297,22.28205108642578,33.33782958984375,-14.808073043823242,-18.36254119873047,-16.23794174194336,-14.977559089660645,16.027708053588867,-13.23847770690918,-18.126811981201172,33.07719039916992,25.43453598022461,26.152748107910156,39.424102783203125,-13.48279094696045,29.528390884399414,20.798633575439453,-16.118953704833984,36.29636001586914,-18.775333404541016,-0.7355995178222656,-18.908496856689453,36.1525764465332,18.243431091308594,11.175676345825195,30.8494873046875,27.26500701904297,28.16471290588379,4
tetra-like,21.636445999145508,65.25556945800781,19.491554260253906,49.56086349487305,-6.464003562927246,3.2129969596862793,56.07361602783203,38.95151901245117,11.002904891967773,81.25566101074219,-2.560997486114502,28.578550338745117,36.57878875732422,17.370811462402344,45.94853210449219,16.764209747314453,36.31990432739258,21.299488067626953,-7.597522735595703,12.192456245422363,5.5453996658325195,1.2638564109802246,19.298269271850586,43.49897766113281,11.001106262207031,41.836936950683594,15.616929054260254,20.030393600463867,31.619293212890625,12
rotated_tetra,4.910677909851074,35.10631561279297,22.28205108642578,33.33782958984375,-14.808073043823242,-18.36254119873047,-16.23794174194336,-14.977559089660645,16.027708053588867,-13.23847770690918,-18.126811981201172,33.07719039916992,25.43453598022461,26.152748107910156,39.424102783203125,-13.48279094696045,29.528390884399414,20.798633575439453,-16.118953704833984,36.29636001586914,-18.775333404541016,-0.7355995178222656,-18.908496856689453,36.1525764465332,18.243431091308594,11.175676345825195,30.8494873046875,27.26500701904297,28.16471290588379,4
cube-like_2,39.14950180053711,41.166805267333984,8.872307777404785,26.113636016845703,1.303173303604126,19.73329734802246,62.49549102783203,41.28881072998047,4.573239326477051,78.966796875,8.1424560546875,20.883464813232422,23.737884521484375,9.895916938781738,27.417463302612305,35.2962760925293,11.114723205566406,22.86349868774414,-2.6285150051116943,8.24002742767334,18.48212432861328,1.3971219062805176,38.50978088378906,22.01235580444336,5.035834789276123,6.177482604980469,7.584012985229492,16.959331512451172,11.942290306091309,16
oct-like,10.569412231445312,56.9522705078125,19.971233367919922,59.67698287963867,-10.461787223815918,-9.943558692932129,10.205926895141602,9.618640899658203,15.344088554382324,34.67219161987305,-8.725080490112305,45.54048156738281,33.21265411376953,21.871252059936523,60.7414665222168,4.114284515380859,39.281707763671875,20.774606704711914,-11.202348709106445,16.07290267944336,-9.847654342651367,16.901521682739258,-9.352689743041992,59.52464294433594,16.920461654663086,15.564770698547363,28.879337310791016,18.53740692138672,36.672149658203125,8
tetra,4.910677909851074,35.10631561279297,22.28205108642578,33.33782958984375,-14.808073043823242,-18.36254119873047,-16.23794174194336,-14.977559089660645,16.027708053588867,-13.23847770690918,-18.126811981201172,33.07719039916992,25.43453598022461,26.152748107910156,39.424102783203125,-13.48279094696045,29.528390884399414,20.798633575439453,-16.118953704833984,36.29636001586914,-18.775333404541016,-0.7355995178222656,-18.908496856689453,36.1525764465332,18.243431091308594,11.175676345825195,30.8494873046875,27.26500701904297,28.16471290588379,4
dod-like,19.67992401123047,41.77583694458008,12.897846221923828,31.794918060302734,-4.567497253417969,2.9116783142089844,33.11274719238281,22.259078979492188,8.108564376831055,47.83930206298828,1.536217212677002,21.924274444580078,24.984283447265625,13.640796661376953,30.795360565185547,16.219762802124023,17.82362937927246,18.69175910949707,-6.889579772949219,11.47591495513916,2.216884136199951,-2.665531873703003,15.882253646850586,29.081209182739258,9.279205322265625,8.812338829040527,13.73797607421875,17.08991050720215,19.34539794921875,12
cube-like_1,15.3235502243042,54.78691482543945,15.427289009094238,53.26054000854492,-8.484813690185547,-3.903538942337036,28.793203353881836,20.031696319580078,12.642327308654785,49.186214447021484,-3.826305389404297,40.02340316772461,30.483341217041016,19.03759002685547,51.65073013305664,14.23580551147461,30.082805633544922,22.13589859008789,-9.928234100341797,13.238700866699219,-4.165325164794922,6.797194957733154,2.374866485595703,48.62248229980469,13.236560821533203,15.481678009033203,18.3895206451416,16.27601432800293,29.876615524291992,10
oct,18.434293746948242,71.3222885131836,22.622129440307617,67.73247528076172,-9.118253707885742,-4.954154014587402,28.01846694946289,19.857316970825195,15.112948417663574,50.04320526123047,-6.247594833374023,49.833587646484375,38.3536491394043,23.824304580688477,64.09416198730469,14.564022064208984,43.91463088989258,20.358600616455078,-9.119771957397461,19.809036254882812,-3.5467872619628906,14.916776657104492,-1.1933069229125977,55.12643051147461,13.361257553100586,29.24087905883789,22.12165641784668,24.356374740600586,40.98826599121094,8
dod,20.137083053588867,42.03769302368164,12.759398460388184,32.15788269042969,-4.6682586669921875,3.331956386566162,33.09809875488281,21.73413848876953,8.153730392456055,47.26654052734375,1.4495849609375,22.794437408447266,24.720172882080078,13.87527084350586,31.022001266479492,17.636940002441406,17.635513305664062,18.890392303466797,-6.926085472106934,11.56382942199707,2.50742244720459,-3.259784698486328,16.061641693115234,28.797090530395508,9.213128089904785,8.865720748901367,13.233165740966797,17.17626953125,19.811311721801758,12
cube,3.7091221809387207,42.366275787353516,18.76361846923828,38.744930267333984,-12.324646949768066,-13.033529281616211,-9.397958755493164,-7.238330841064453,14.472013473510742,2.096451759338379,-12.438552856445312,41.492923736572266,24.267213821411133,27.384960174560547,49.11175537109375,-2.877610921859741,32.36692810058594,21.835216522216797,-13.658563613891602,21.805458068847656,-15.076775550842285,7.947863578796387,-13.44157600402832,43.500518798828125,16.276168823242188,9.38808536529541,24.812458038330078,26.802200317382812,30.262470245361328,6
